1594709780.470855,1594709780.469000,sys,1,"2020-07-14 13:07:20",-1,-1
1594709787.554295,1594670562.594554,in,3,"2020-07-14 13:07:27",1,1
1594709790.373208,1594670565.370708,in,3,"2020-07-14 13:07:30",1,1
1594709791.845076,1594670566.676631,in,3,"2020-07-14 13:07:31",1,1
1594709792.757134,1594670567.802341,in,3,"2020-07-14 13:07:32",1,1
1594709793.745134,1594670568.638418,in,3,"2020-07-14 13:07:33",1,1
1594709793.839946,1594709793.536000,sys,1,"2020-07-14 13:07:33",-1,-1
1594709794.943493,1594709794.640000,sys,1,"2020-07-14 13:07:34",-1,-1
1594709795.201338,1594709795.200000,sys,1,"2020-07-14 13:07:35",-1,-1
1594709795.209316,1594670570.126597,in,1,"2020-07-14 13:07:35",1,1
1594709795.508130,1594670570.374595,in,3,"2020-07-14 13:07:35",1,1
1594709796.323467,1594487179.901094,out1,1,"2020-07-14 13:07:36",-1,-1
1594709796.726263,1594670571.871626,in,3,"2020-07-14 13:07:36",0,1
1594709801.978352,1594670576.863357,in,3,"2020-07-14 13:07:41",1,1
1594709804.624011,1594670579.493627,in,3,"2020-07-14 13:07:44",1,1
1594709810.755554,1594487194.321162,out1,1,"2020-07-14 13:07:50",-1,-1
1594709810.938637,1594670586.019752,in,3,"2020-07-14 13:07:50",1,1
1594709814.477848,1594709814.334000,sys,1,"2020-07-14 13:07:54",-1,-1
1594709816.946419,1594670591.817935,in,1,"2020-07-14 13:07:56",-1,-1
1594709817.867457,1594709817.563000,sys,1,"2020-07-14 13:07:57",-1,-1
1594709818.135058,1594709818.134000,sys,1,"2020-07-14 13:07:58",-1,-1
1594709820.178697,1594709819.875000,sys,1,"2020-07-14 13:07:00",-1,-1
1594709822.079550,1594709821.777000,sys,1,"2020-07-14 13:07:02",-1,-1
1594709822.331190,1594709822.317000,sys,1,"2020-07-14 13:07:02",-1,-1
1594709833.442157,1594709833.139000,sys,1,"2020-07-14 13:07:13",-1,-1
1594709838.014022,1594670612.961741,in,1,"2020-07-14 13:07:18",1,1
1594709838.156869,1594670613.199847,in,3,"2020-07-14 13:07:18",1,1
1594709840.286871,1594670615.312701,in,3,"2020-07-14 13:07:20",1,1
1594709840.459627,1594670615.222100,in,1,"2020-07-14 13:07:20",1,1
1594709842.633635,1594670617.500824,in,3,"2020-07-14 13:07:22",1,1
1594709843.604773,1594670618.502776,in,3,"2020-07-14 13:07:23",1,1
1594709854.220462,1594487237.928260,out1,1,"2020-07-14 13:07:34",-1,-1
